comparison_group,n_blocks,n_unique_sites,n_unique_experiments,total_nodes,mean_relative_risk,median_relative_risk,mean_risk_difference,mean_exposed_jump_rate,mean_unexposed_jump_rate,mean_spatial_edges,mean_temporal_edges
PIK3CA_H1047R,24,4,6,4661580,3.200310079544145,3.214033284586277,0.14175370094958767,0.207863429852151,0.06610972890256332,696884.625,192749.625
WT,24,4,6,7874257,1.7423490027824606,1.7372452550213737,0.054427251161996676,0.12797438273309947,0.07354713157110278,2079152.5,326484.5833333333
PIK3CA_E545K,24,4,6,8443205,1.7071095805294858,1.6886564712919923,0.05987737691062653,0.1452059737176275,0.08532859680700099,2385620.625,349580.125
AKT1_E17K,21,4,6,8797999,1.581421138620283,1.4539651138122445,0.05321665945356898,0.15216955179276423,0.09895289233919524,3450509.3333333335,417039.28571428574
PTEN_del,27,8,6,5764607,1.5566327650128646,1.5558262941994156,0.04552305545262296,0.12790949167438828,0.08238643622176534,943379.4074074074,212421.11111111112
